;office_name;county_id;candidate_name;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote
253;SOIL AND WATER SUPERVISOR DISTRICT 4;18;BERNICE (BUNNY) OSTLUND                        ;NP;59;59;10486;46.74
254;SOIL AND WATER SUPERVISOR DISTRICT 4;18;BOB BECKER                                     ;NP;59;59;11869;52.9
255;SOIL AND WATER SUPERVISOR DISTRICT 4;18;WRITE IN                                       ;WI;59;59;80;0.36
256;SOIL AND WATER SUPERVISOR DISTRICT 5;18;ROBERT F. ALBRECHT                             ;NP;59;59;21574;99.41
257;SOIL AND WATER SUPERVISOR DISTRICT 5;18;WRITE IN                                       ;WI;59;59;127;0.59
258;COUNTY COMMISSIONER DISTRICT 1;19;KEITH J. CHAMBERLAIN                           ;NP;134;135;7829;39.04
259;COUNTY COMMISSIONER DISTRICT 1;19;JOSEPH A. (JOE) HARRIS                         ;NP;134;135;12157;60.62
260;COUNTY COMMISSIONER DISTRICT 1;19;WRITE IN                                       ;WI;134;135;70;0.35
261;COUNTY COMMISSIONER DISTRICT 3;19;PATRICE BATAGLIA                               ;NP;134;135;19814;98.91
262;COUNTY COMMISSIONER DISTRICT 3;19;WRITE IN                                       ;WI;134;135;218;1.09
263;COUNTY COMMISSIONER DISTRICT 5;19;MIKE TURNER                                    ;NP;134;135;16352;98.85
264;COUNTY COMMISSIONER DISTRICT 5;19;WRITE IN                                       ;WI;134;135;191;1.15
265;COUNTY COMMISSIONER DISTRICT 7;19;WILL BRANNING                                  ;NP;134;135;22051;98.72
266;COUNTY COMMISSIONER DISTRICT 7;19;WRITE IN                                       ;WI;134;135;285;1.28
267;SOIL AND WATER SUPERVISOR DISTRICT 2;19;SUZANNE SAVANICK                               ;NP;134;135;126226;99.05
268;SOIL AND WATER SUPERVISOR DISTRICT 2;19;WRITE IN                                       ;WI;134;135;1210;0.95
269;SOIL AND WATER SUPERVISOR DISTRICT 4;19;DWAIN N. OTTE                                  ;NP;134;135;124386;99.21
270;SOIL AND WATER SUPERVISOR DISTRICT 4;19;WRITE IN                                       ;WI;134;135;995;0.79
271;SOIL AND WATER SUPERVISOR DISTRICT 5;19;JOE MEYERS                                     ;NP;134;135;124175;99.26
272;SOIL AND WATER SUPERVISOR DISTRICT 5;19;WRITE IN                                       ;WI;134;135;930;0.74
273;COUNTY COMMISSIONER DISTRICT 2;20;WAYNE MCCOLLEY                                 ;NP;19;19;744;47.24
274;COUNTY COMMISSIONER DISTRICT 2;20;RODNEY R PETERSON                              ;NP;19;19;831;52.76
275;COUNTY COMMISSIONER DISTRICT 2;20;WRITE IN                                       ;WI;19;19;0;0
276;COUNTY COMMISSIONER DISTRICT 3;20;DAVID F ERICKSON                               ;NP;19;19;1271;99.92
277;COUNTY COMMISSIONER DISTRICT 3;20;WRITE IN                                       ;WI;19;19;1;0.08
278;SOIL AND WATER SUPERVISOR DISTRICT 1;20;RICHARD KENNETH ALBERTS                        ;NP;19;19;3813;53.7
279;SOIL AND WATER SUPERVISOR DISTRICT 1;20;MURIEL L FRENCH                                ;NP;19;19;3282;46.22
280;SOIL AND WATER SUPERVISOR DISTRICT 1;20;WRITE IN                                       ;WI;19;19;6;0.08
281;SOIL AND WATER SUPERVISOR DISTRICT 2;20;DARREL FAULKNER                                ;NP;19;19;2927;42.72
282;SOIL AND WATER SUPERVISOR DISTRICT 2;20;LEROY PAULSON                                  ;NP;19;19;3919;57.2
283;SOIL AND WATER SUPERVISOR DISTRICT 2;20;WRITE IN                                       ;WI;19;19;5;0.07
284;SOIL AND WATER SUPERVISOR DISTRICT 5;20;BRYAN WEST                                     ;NP;19;19;6430;99.95
285;SOIL AND WATER SUPERVISOR DISTRICT 5;20;WRITE IN                                       ;WI;19;19;3;0.05
286;COUNTY QUESTION 1;21;YES                                            ;NP;36;36;8586;53.05
287;COUNTY QUESTION 1;21;NO                                             ;NP;36;36;11882;75.92
288;COUNTY QUESTION 2;21;YES                                            ;NP;36;36;3768;24.08
289;COUNTY QUESTION 2;21;NO                                             ;NP;36;36;7599;46.95
290;COUNTY QUESTION 3;21;YES                                            ;NP;36;36;3455;22.55
291;COUNTY QUESTION 3;21;NO                                             ;NP;36;36;11867;77.45
292;COUNTY COMMISSIONER DISTRICT 1;21;HAROLD M. JENNISSEN                            ;NP;36;36;1791;50.1
293;COUNTY COMMISSIONER DISTRICT 1;21;GERALD J. JOHNSON                              ;NP;36;36;1781;49.82
294;COUNTY COMMISSIONER DISTRICT 1;21;WRITE IN                                       ;WI;36;36;3;0.08
295;COUNTY COMMISSIONER DISTRICT 3;21;BRYAN WITHERS                                  ;NP;36;36;1905;56.38
296;COUNTY COMMISSIONER DISTRICT 3;21;JERRY GAY                                      ;NP;36;36;1463;43.3
297;COUNTY COMMISSIONER DISTRICT 3;21;WRITE IN                                       ;WI;36;36;11;0.33
298;COUNTY COMMISSIONER DISTRICT 5;21;ARLAN KAKAC                                    ;NP;36;36;2768;97.71
299;COUNTY COMMISSIONER DISTRICT 5;21;WRITE IN                                       ;WI;36;36;65;2.29
300;SOIL AND WATER SUPERVISOR DISTRICT 2;21;GLENN MATEJKA                                  ;NP;36;36;13444;99.54
301;SOIL AND WATER SUPERVISOR DISTRICT 2;21;WRITE IN                                       ;WI;36;36;62;0.46
302;SOIL AND WATER SUPERVISOR DISTRICT 4;21;ROY ROERS                                      ;NP;36;36;13498;99.56
303;SOIL AND WATER SUPERVISOR DISTRICT 4;21;WRITE IN                                       ;WI;36;36;60;0.44
304;SOIL AND WATER SUPERVISOR DISTRICT 5;21;DOUGLAS RUTTEN                                 ;NP;36;36;13491;99.62
305;SOIL AND WATER SUPERVISOR DISTRICT 5;21;WRITE IN                                       ;WI;36;36;52;0.38
306;COUNTY COMMISSIONER DISTRICT 1;22;BARB STEIER                                    ;NP;33;33;777;48.56
307;COUNTY COMMISSIONER DISTRICT 1;22;VIRGIL H KLATT                                 ;NP;33;33;822;51.38
308;COUNTY COMMISSIONER DISTRICT 1;22;WRITE IN                                       ;WI;33;33;1;0.06
309;COUNTY COMMISSIONER DISTRICT 3;22;PAUL A MEYER                                   ;NP;33;33;1388;97.82
310;COUNTY COMMISSIONER DISTRICT 3;22;WRITE IN                                       ;WI;33;33;31;2.18
311;COUNTY COMMISSIONER DISTRICT 5;22;TOM WARMKA                                     ;NP;33;33;974;52.31
312;COUNTY COMMISSIONER DISTRICT 5;22;AL BAUMAN                                      ;NP;33;33;885;47.53
313;COUNTY COMMISSIONER DISTRICT 5;22;WRITE IN                                       ;WI;33;33;3;0.16
314;SOIL AND WATER SUPERVISOR DISTRICT 1;22;FRANK DRAKE                                    ;NP;33;33;7131;99.75
315;SOIL AND WATER SUPERVISOR DISTRICT 1;22;WRITE IN                                       ;WI;33;33;18;0.25
316;SOIL AND WATER SUPERVISOR DISTRICT 4;22;JIM ROBERTSON                                  ;NP;33;33;7045;99.8
317;SOIL AND WATER SUPERVISOR DISTRICT 4;22;WRITE IN                                       ;WI;33;33;14;0.2
318;SOIL AND WATER SUPERVISOR DISTRICT 5;22;DENNY COLE                                     ;NP;33;33;7145;99.94
319;SOIL AND WATER SUPERVISOR DISTRICT 5;22;WRITE IN                                       ;WI;33;33;4;0.06
320;COUNTY COMMISSIONER DISTRICT 1;23;RANDALL T DAHL                                 ;NP;37;37;1167;52.52
321;COUNTY COMMISSIONER DISTRICT 1;23;DONALD J BOYUM                                 ;NP;37;37;1055;47.48
322;COUNTY COMMISSIONER DISTRICT 1;23;WRITE IN                                       ;WI;37;37;0;0
323;COUNTY COMMISSIONER DISTRICT 3;23;GARY L PETERSON                                ;NP;37;37;1777;100
324;COUNTY COMMISSIONER DISTRICT 3;23;WRITE IN                                       ;WI;37;37;0;0
325;COUNTY COMMISSIONER DISTRICT 5;23;JOHN J RYAN                                    ;NP;37;37;884;47.81
326;COUNTY COMMISSIONER DISTRICT 5;23;MARC PRESTBY                                   ;NP;37;37;965;52.19
327;COUNTY COMMISSIONER DISTRICT 5;23;WRITE IN                                       ;WI;37;37;0;0
328;SOIL AND WATER SUPERVISOR DISTRICT 3;23;SUSAN G SCHRAGE                                ;NP;37;37;8270;100
329;SOIL AND WATER SUPERVISOR DISTRICT 3;23;WRITE IN                                       ;WI;37;37;0;0
330;SOIL AND WATER SUPERVISOR DISTRICT 4;23;ELEANOR SCHEEVEL JUNGE                         ;NP;37;37;8451;100
331;SOIL AND WATER SUPERVISOR DISTRICT 4;23;WRITE IN                                       ;WI;37;37;0;0
332;SOIL AND WATER SUPERVISOR DISTRICT 5;23;RICHARD S OCONNOR                              ;NP;37;37;8232;100
333;SOIL AND WATER SUPERVISOR DISTRICT 5;23;WRITE IN                                       ;WI;37;37;0;0
334;COUNTY COMMISSIONER DISTRICT 1;24;GLEN MATHIASON                                 ;NP;40;40;2015;56.41
335;COUNTY COMMISSIONER DISTRICT 1;24;FRANK GJERSVIK                                 ;NP;40;40;1551;43.42
336;COUNTY COMMISSIONER DISTRICT 1;24;WRITE IN                                       ;WI;40;40;6;0.17
337;COUNTY COMMISSIONER DISTRICT 3;24;KEITH A. PORTER SR.                            ;NP;40;40;969;33.58
338;COUNTY COMMISSIONER DISTRICT 3;24;DAN SPRINGBORG                                 ;NP;40;40;1916;66.39
339;COUNTY COMMISSIONER DISTRICT 3;24;WRITE IN                                       ;WI;40;40;1;0.03
340;COUNTY COMMISSIONER DISTRICT 5;24;RON KRAUS                                      ;NP;40;40;1458;46.46
341;COUNTY COMMISSIONER DISTRICT 5;24;MARK BEHRENDS                                  ;NP;40;40;1674;53.35
342;COUNTY COMMISSIONER DISTRICT 5;24;WRITE IN                                       ;WI;40;40;6;0.19
343;SOIL AND WATER SUPERVISOR DISTRICT 1;24;WILLIAM H. BRYSON                              ;NP;40;40;13646;99.34
344;SOIL AND WATER SUPERVISOR DISTRICT 1;24;WRITE IN                                       ;WI;40;40;90;0.66
345;SOIL AND WATER SUPERVISOR DISTRICT 2;24;JERRY L. DEMMER                                ;NP;40;40;13508;99.46
346;SOIL AND WATER SUPERVISOR DISTRICT 2;24;WRITE IN                                       ;WI;40;40;73;0.54
347;SOIL AND WATER SUPERVISOR DISTRICT 3;24;OBERT S. HALDORSON                             ;NP;40;40;13006;99.73
348;SOIL AND WATER SUPERVISOR DISTRICT 3;24;WRITE IN                                       ;WI;40;40;35;0.27
349;SOIL AND WATER SUPERVISOR DISTRICT 5;24;DONALD KROPP                                   ;NP;40;40;13122;99.64
350;SOIL AND WATER SUPERVISOR DISTRICT 5;24;WRITE IN                                       ;WI;40;40;47;0.36
351;COUNTY COMMISSIONER DISTRICT 1;25;RICHARD MALLAN                                 ;NP;44;44;1889;48.71
352;COUNTY COMMISSIONER DISTRICT 1;25;ROSEANNE GROSSO                                ;NP;44;44;1985;51.19
353;COUNTY COMMISSIONER DISTRICT 1;25;WRITE IN                                       ;WI;44;44;4;0.1
354;COUNTY COMMISSIONER DISTRICT 3;25;DAN RECHTZIGEL                                 ;NP;44;44;2023;47.3
355;COUNTY COMMISSIONER DISTRICT 3;25;ROBERT (BOB) NOAH                              ;NP;44;44;2246;52.51
356;COUNTY COMMISSIONER DISTRICT 3;25;WRITE IN                                       ;WI;44;44;8;0.19
357;COUNTY COMMISSIONER DISTRICT 5;25;TED SEIFERT                                    ;NP;44;44;1907;45.79
358;COUNTY COMMISSIONER DISTRICT 5;25;GARY IOCCO                                     ;NP;44;44;2248;53.97
359;COUNTY COMMISSIONER DISTRICT 5;25;WRITE IN                                       ;WI;44;44;10;0.24
360;SOIL AND WATER SUPERVISOR DISTRICT 3;25;DONALD BANKS                                   ;NP;44;44;18354;99.43
361;SOIL AND WATER SUPERVISOR DISTRICT 3;25;WRITE IN                                       ;WI;44;44;105;0.57
362;SOIL AND WATER SUPERVISOR DISTRICT 4;25;EDWARD MCNAMARA                                ;NP;44;44;18024;99.54
363;SOIL AND WATER SUPERVISOR DISTRICT 4;25;WRITE IN                                       ;WI;44;44;84;0.46
364;SOIL AND WATER SUPERVISOR DISTRICT 5;25;JOHN JAEGER                                    ;NP;44;44;17896;99.52
365;SOIL AND WATER SUPERVISOR DISTRICT 5;25;WRITE IN                                       ;WI;44;44;87;0.48
366;COUNTY COMMISSIONER DISTRICT 1;26;CHARLES FOSS                                   ;NP;23;23;511;76.15
367;COUNTY COMMISSIONER DISTRICT 1;26;WRITE IN                                       ;WI;23;23;160;23.85
368;COUNTY COMMISSIONER DISTRICT 3;26;JENNES SWENSON                                 ;NP;23;23;584;93.89
369;COUNTY COMMISSIONER DISTRICT 3;26;WRITE IN                                       ;WI;23;23;38;6.11
370;COUNTY COMMISSIONER DISTRICT 5;26;VERNELL H. WAGNER                              ;NP;23;23;302;49.51
371;COUNTY COMMISSIONER DISTRICT 5;26;DOYLE SPERR                                    ;NP;23;23;212;34.75
372;COUNTY COMMISSIONER DISTRICT 5;26;WRITE IN                                       ;WI;23;23;96;15.74
373;SOIL AND WATER SUPERVISOR DISTRICT 1;26;WRITE IN                                       ;WI;23;23;76;100
374;SOIL AND WATER SUPERVISOR DISTRICT 2;26;WRITE IN                                       ;WI;23;23;41;100
375;SOIL AND WATER SUPERVISOR DISTRICT 4;26;WRITE IN                                       ;WI;23;23;54;100
376;COUNTY COMMISSIONER DISTRICT 1;27;MIKE OPAT                                      ;NP;420;422;52094;98.13
377;COUNTY COMMISSIONER DISTRICT 1;27;WRITE IN                                       ;WI;420;422;993;1.87
378;COUNTY COMMISSIONER DISTRICT 2;27;MARK STENGLEIN                                 ;NP;420;422;43493;97.4
379;COUNTY COMMISSIONER DISTRICT 2;27;WRITE IN                                       ;WI;420;422;1160;2.6
380;COUNTY COMMISSIONER DISTRICT 3;27;GAIL DORFMAN                                   ;NP;420;422;54251;97.42
381;COUNTY COMMISSIONER DISTRICT 3;27;WRITE IN                                       ;WI;420;422;1439;2.58
382;COUNTY COMMISSIONER DISTRICT 4;27;MARK J. CARLSON                                ;NP;420;422;15622;33
383;COUNTY COMMISSIONER DISTRICT 4;27;PETER MCLAUGHLIN                               ;NP;420;422;30859;65.18
384;COUNTY COMMISSIONER DISTRICT 4;27;WRITE IN                                       ;WI;420;422;864;1.82
385;COUNTY PARK COMMISSIONER DISTRICT 1;27;JAMES DEANE                                    ;NP;420;422;65712;98.91
386;COUNTY PARK COMMISSIONER DISTRICT 1;27;WRITE IN                                       ;WI;420;422;726;1.09
387;COUNTY PARK COMMISSIONER DISTRICT 3;27;MARK HAGGERTY                                  ;NP;420;422;45629;98.67
388;COUNTY PARK COMMISSIONER DISTRICT 3;27;WRITE IN                                       ;WI;420;422;617;1.33
389;COUNTY PARK COMMISSIONER DISTRICT 5;27;ROSEMARY FRANZESE                              ;NP;420;422;46525;98.52
390;COUNTY PARK COMMISSIONER DISTRICT 5;27;WRITE IN                                       ;WI;420;422;700;1.48
391;SOIL AND WATER SUPERVISOR DISTRICT 1;27;JEAN COLEMAN                                   ;NP;420;422;360553;98.36
392;SOIL AND WATER SUPERVISOR DISTRICT 1;27;WRITE IN                                       ;WI;420;422;6007;1.64
393;SOIL AND WATER SUPERVISOR DISTRICT 5;27;GREGORY M. CHOCK                               ;NP;420;422;149416;44.37
394;SOIL AND WATER SUPERVISOR DISTRICT 5;27;LEIGH HARROD                                   ;NP;420;422;182168;54.1
395;SOIL AND WATER SUPERVISOR DISTRICT 5;27;WRITE IN                                       ;WI;420;422;5152;1.53
396;COUNTY COMMISSIONER DISTRICT 1;28;DUANE P. ZENKE                                 ;NP;27;27;890;39.42
397;COUNTY COMMISSIONER DISTRICT 1;28;LARRY E. GRAF                                  ;NP;27;27;1368;60.58
398;COUNTY COMMISSIONER DISTRICT 1;28;WRITE IN                                       ;WI;27;27;0;0
399;COUNTY COMMISSIONER DISTRICT 3;28;ANN THOMPSON                                   ;NP;27;27;1208;65.76
400;COUNTY COMMISSIONER DISTRICT 3;28;MARK J COFFIELD                                ;NP;27;27;619;33.7
401;COUNTY COMMISSIONER DISTRICT 3;28;WRITE IN                                       ;WI;27;27;10;0.54
402;COUNTY COMMISSIONER DISTRICT 5;28;WENDELL WILD                                   ;NP;27;27;638;38.46
403;COUNTY COMMISSIONER DISTRICT 5;28;NELS GULBRANSON                                ;NP;27;27;1021;61.54
404;COUNTY COMMISSIONER DISTRICT 5;28;WRITE IN                                       ;WI;27;27;0;0
405;SOIL AND WATER SUPERVISOR DISTRICT 3;28;GLENN KINNEBERG                                ;NP;27;27;8099;99.93
406;SOIL AND WATER SUPERVISOR DISTRICT 3;28;WRITE IN                                       ;WI;27;27;6;0.07
407;SOIL AND WATER SUPERVISOR DISTRICT 4;28;VERNON FRUECHTE                                ;NP;27;27;3732;44.29
408;SOIL AND WATER SUPERVISOR DISTRICT 4;28;LOREN LAPHAM                                   ;NP;27;27;2207;26.19
409;SOIL AND WATER SUPERVISOR DISTRICT 4;28;DAVID OITZMAN                                  ;NP;27;27;2486;29.5
410;SOIL AND WATER SUPERVISOR DISTRICT 4;28;WRITE IN                                       ;WI;27;27;2;0.02
411;SOIL AND WATER SUPERVISOR DISTRICT 5;28;JOE MCMANIMON                                  ;NP;27;27;4530;54.93
412;SOIL AND WATER SUPERVISOR DISTRICT 5;28;FRANKLIN HAHN                                  ;NP;27;27;3711;45
413;SOIL AND WATER SUPERVISOR DISTRICT 5;28;WRITE IN                                       ;WI;27;27;6;0.07
414;COUNTY COMMISSIONER DISTRICT 2;29;DICK DEVINE                                    ;NP;34;34;1161;98.14
415;COUNTY COMMISSIONER DISTRICT 2;29;WRITE IN                                       ;WI;34;34;22;1.86
416;COUNTY COMMISSIONER DISTRICT 4;29;MARTIN "MARTY" STEFFEL                         ;NP;34;34;888;45.05
417;COUNTY COMMISSIONER DISTRICT 4;29;LYLE C ROBINSON                                ;NP;34;34;1074;54.49
418;COUNTY COMMISSIONER DISTRICT 4;29;WRITE IN                                       ;WI;34;34;9;0.46
419;SOIL AND WATER SUPERVISOR DISTRICT 1;29;DON RETTINGER                                  ;NP;34;34;7099;99.37
420;SOIL AND WATER SUPERVISOR DISTRICT 1;29;WRITE IN                                       ;WI;34;34;45;0.63
421;SOIL AND WATER SUPERVISOR DISTRICT 2;29;CAROL BERG                                     ;NP;34;34;7135;99.41
422;SOIL AND WATER SUPERVISOR DISTRICT 2;29;WRITE IN                                       ;WI;34;34;42;0.59
423;SOIL AND WATER SUPERVISOR DISTRICT 3;29;RICHARD GARTNER                                ;NP;34;34;7209;99.42
424;SOIL AND WATER SUPERVISOR DISTRICT 3;29;WRITE IN                                       ;WI;34;34;42;0.58
425;COUNTY COMMISSIONER DISTRICT 2;30;WALLACE BENGTSON                               ;NP;17;17;2436;96.86
426;COUNTY COMMISSIONER DISTRICT 2;30;WRITE IN                                       ;WI;17;17;79;3.14
427;COUNTY COMMISSIONER DISTRICT 3;30;TOM PAGEL                                      ;NP;17;17;2261;87.1
428;COUNTY COMMISSIONER DISTRICT 3;30;WRITE IN                                       ;WI;17;17;335;12.9
429;COUNTY COMMISSIONER DISTRICT 4;30;GENE WICHT                                     ;NP;17;17;1222;49.78
430;COUNTY COMMISSIONER DISTRICT 4;30;LYLE A SCHLEIF                                 ;NP;17;17;1213;49.41
431;COUNTY COMMISSIONER DISTRICT 4;30;WRITE IN                                       ;WI;17;17;20;0.81
432;SOIL AND WATER SUPERVISOR DISTRICT 1;30;CLIFF EDBLAD                                   ;NP;17;17;11706;98.99
433;SOIL AND WATER SUPERVISOR DISTRICT 1;30;WRITE IN                                       ;WI;17;17;120;1.01
434;SOIL AND WATER SUPERVISOR DISTRICT 3;30;EARLE STOECKEL                                 ;NP;17;17;11617;98.94
435;SOIL AND WATER SUPERVISOR DISTRICT 3;30;WRITE IN                                       ;WI;17;17;124;1.06
436;SOIL AND WATER SUPERVISOR DISTRICT 4;30;RALPH A BLOOMGREN                              ;NP;17;17;11497;99.04
437;SOIL AND WATER SUPERVISOR DISTRICT 4;30;WRITE IN                                       ;WI;17;17;112;0.96
438;COUNTY COMMISSIONER DISTRICT 2;31;MATTHEW (MATT) HUJU                            ;NP;80;80;1549;39.68
439;COUNTY COMMISSIONER DISTRICT 2;31;TOM SAXHAUG                                    ;NP;80;80;2332;59.73
440;COUNTY COMMISSIONER DISTRICT 2;31;WRITE IN                                       ;WI;80;80;23;0.59
441;COUNTY COMMISSIONER DISTRICT 4;31;ROBERT (BOB) FRICK                             ;NP;80;80;2373;54.13
442;COUNTY COMMISSIONER DISTRICT 4;31;MARY F. IVES                                   ;NP;80;80;1996;45.53
443;COUNTY COMMISSIONER DISTRICT 4;31;WRITE IN                                       ;WI;80;80;15;0.34
444;SOIL AND WATER SUPERVISOR DISTRICT 1;31;CHARLES ISAACS                                 ;NP;80;80;16926;99.08
445;SOIL AND WATER SUPERVISOR DISTRICT 1;31;WRITE IN                                       ;WI;80;80;158;0.92
446;SOIL AND WATER SUPERVISOR DISTRICT 2;31;TED LOVDAHL                                    ;NP;80;80;16857;99.37
447;SOIL AND WATER SUPERVISOR DISTRICT 2;31;WRITE IN                                       ;WI;80;80;107;0.63
448;SOIL AND WATER SUPERVISOR DISTRICT 3;31;JIM PARSON                                     ;NP;80;80;7697;45.01
449;SOIL AND WATER SUPERVISOR DISTRICT 3;31;DARRELL H. LAUBER                              ;NP;80;80;9318;54.49
450;SOIL AND WATER SUPERVISOR DISTRICT 3;31;WRITE IN                                       ;WI;80;80;84;0.49
451;COUNTY COMMISSIONER DISTRICT 1;32;TOM L. MORTON                                  ;NP;30;30;427;42.87
452;COUNTY COMMISSIONER DISTRICT 1;32;CRAIG RUBIS                                    ;NP;30;30;566;56.83
453;COUNTY COMMISSIONER DISTRICT 1;32;WRITE IN                                       ;WI;30;30;3;0.3
454;COUNTY COMMISSIONER DISTRICT 3;32;CATHY HOHENSTEIN                               ;NP;30;30;584;49.03
455;COUNTY COMMISSIONER DISTRICT 3;32;BRUCE HOCHSTEIN                                ;NP;30;30;605;50.8
456;COUNTY COMMISSIONER DISTRICT 3;32;WRITE IN                                       ;WI;30;30;2;0.17
457;COUNTY COMMISSIONER DISTRICT 5;32;ROBERT J. FERGUSON                             ;NP;30;30;883;98.44
458;COUNTY COMMISSIONER DISTRICT 5;32;WRITE IN                                       ;WI;30;30;14;1.56
459;SOIL AND WATER SUPERVISOR DISTRICT 1;32;CHARLES BARTOSH                                ;NP;30;30;4790;99.48
460;SOIL AND WATER SUPERVISOR DISTRICT 1;32;WRITE IN                                       ;WI;30;30;25;0.52
461;SOIL AND WATER SUPERVISOR DISTRICT 3;32;GARY BAILEY                                    ;NP;30;30;4724;99.47
462;SOIL AND WATER SUPERVISOR DISTRICT 3;32;WRITE IN                                       ;WI;30;30;25;0.53
463;SOIL AND WATER SUPERVISOR DISTRICT 5;32;LARRY G. HANSEN                                ;NP;30;30;4691;99.55
464;SOIL AND WATER SUPERVISOR DISTRICT 5;32;WRITE IN                                       ;WI;30;30;21;0.45
465;COUNTY QUESTION 1;33;YES                                            ;NP;20;21;3593;53.23
466;COUNTY QUESTION 1;33;NO                                             ;NP;20;21;3157;46.77
467;COUNTY COMMISSIONER DISTRICT 2;33;ROGER W. CRAWFORD                              ;NP;20;21;357;36.35
468;COUNTY COMMISSIONER DISTRICT 2;33;DENNIS H. SCHULZ                               ;NP;20;21;624;63.54
469;COUNTY COMMISSIONER DISTRICT 2;33;WRITE IN                                       ;WI;20;21;1;0.1
470;COUNTY COMMISSIONER DISTRICT 4;33;KATHI ELLIS                                    ;NP;20;21;818;50.25
471;COUNTY COMMISSIONER DISTRICT 4;33;TOM ROESCHLEIN                                 ;NP;20;21;806;49.51
472;COUNTY COMMISSIONER DISTRICT 4;33;WRITE IN                                       ;WI;20;21;4;0.25
473;SOIL AND WATER SUPERVISOR DISTRICT 1;33;HERMAN JACKSON                                 ;NP;20;21;5080;99.65
474;SOIL AND WATER SUPERVISOR DISTRICT 1;33;WRITE IN                                       ;WI;20;21;18;0.35
475;SOIL AND WATER SUPERVISOR DISTRICT 2;33;PAUL L. LARSON                                 ;NP;20;21;5132;99.81
476;SOIL AND WATER SUPERVISOR DISTRICT 2;33;WRITE IN                                       ;WI;20;21;10;0.19
477;SOIL AND WATER SUPERVISOR DISTRICT 3;33;RALPH WAHLSTROM                                ;NP;20;21;5062;99.7
478;SOIL AND WATER SUPERVISOR DISTRICT 3;33;WRITE IN                                       ;WI;20;21;15;0.3
479;SOIL AND WATER SUPERVISOR DISTRICT 5;33;JEFFREY J. GRYSKIEWICZ                         ;NP;20;21;4872;99.8
480;SOIL AND WATER SUPERVISOR DISTRICT 5;33;WRITE IN                                       ;WI;20;21;10;0.2
481;COUNTY COMMISSIONER DISTRICT 2;34;RICHARD B. "DICK" LARSON                       ;NP;47;47;2745;99.28
482;COUNTY COMMISSIONER DISTRICT 2;34;WRITE IN                                       ;WI;47;47;20;0.72
483;COUNTY COMMISSIONER DISTRICT 4;34;DENNIS E. PETERSON                             ;NP;47;47;3882;96.35
484;COUNTY COMMISSIONER DISTRICT 4;34;WRITE IN                                       ;WI;47;47;147;3.65
485;SOIL AND WATER SUPERVISOR DISTRICT 1;34;SHERMAN MANKELL                                ;NP;47;47;16205;99.62
486;SOIL AND WATER SUPERVISOR DISTRICT 1;34;WRITE IN                                       ;WI;47;47;62;0.38
487;SOIL AND WATER SUPERVISOR DISTRICT 3;34;DOUGLAS L. HANSON                              ;NP;47;47;15865;99.72
488;SOIL AND WATER SUPERVISOR DISTRICT 3;34;WRITE IN                                       ;WI;47;47;45;0.28
489;SOIL AND WATER SUPERVISOR DISTRICT 4;34;KEVIN CLOUGH                                   ;NP;47;47;15755;99.67
490;SOIL AND WATER SUPERVISOR DISTRICT 4;34;WRITE IN                                       ;WI;47;47;52;0.33
491;COUNTY COMMISSIONER DISTRICT 1;35;JIM WOLLIN                                     ;NP;38;38;315;63.64
492;COUNTY COMMISSIONER DISTRICT 1;35;DEBBIE J. KLOPP                                ;NP;38;38;179;36.16
493;COUNTY COMMISSIONER DISTRICT 1;35;WRITE IN                                       ;WI;38;38;1;0.2
494;COUNTY COMMISSIONER DISTRICT 2;35;JOHN W. ANDERSON                               ;NP;38;38;441;98.44
495;COUNTY COMMISSIONER DISTRICT 2;35;WRITE IN                                       ;WI;38;38;7;1.56
496;COUNTY COMMISSIONER DISTRICT 4;35;BEVERLY HEWITT                                 ;NP;38;38;308;58.44
497;COUNTY COMMISSIONER DISTRICT 4;35;SHEILA K. BILLINGS                             ;NP;38;38;219;41.56
498;COUNTY COMMISSIONER DISTRICT 4;35;WRITE IN                                       ;WI;38;38;0;0
499;SOIL AND WATER SUPERVISOR DISTRICT 1;35;GREG PETERSON                                  ;NP;38;38;2237;99.6
500;SOIL AND WATER SUPERVISOR DISTRICT 1;35;WRITE IN                                       ;WI;38;38;9;0.4
501;SOIL AND WATER SUPERVISOR DISTRICT 2;35;CHARLES LINDBERG                               ;NP;38;38;849;35.36
502;SOIL AND WATER SUPERVISOR DISTRICT 2;35;JESSE COFFIELD                                 ;NP;38;38;1550;64.56
503;SOIL AND WATER SUPERVISOR DISTRICT 2;35;WRITE IN                                       ;WI;38;38;2;0.08
504;SOIL AND WATER SUPERVISOR DISTRICT 5;35;JOSEPH WILEBSKI                                ;NP;38;38;2190;99.82
505;SOIL AND WATER SUPERVISOR DISTRICT 5;35;WRITE IN                                       ;WI;38;38;4;0.18
506;COUNTY COMMISSIONER DISTRICT 3;36;LARRY CHEZICK                                  ;NP;35;35;985;98.7
507;COUNTY COMMISSIONER DISTRICT 3;36;WRITE IN                                       ;WI;35;35;13;1.3
508;COUNTY COMMISSIONER DISTRICT 4;36;CHARLES C. (CHUCK) LEPPER                      ;NP;35;35;1397;99.29
509;COUNTY COMMISSIONER DISTRICT 4;36;WRITE IN                                       ;WI;35;35;10;0.71
