state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;31;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;LARRY J. SCHLAUDERAFF                          ;NA;NA;NP;80;80;344;20.92;NA
MN;31;NA;NA;COUNTY COMMISSIONER DISTRICT 2;NA;NA;TOM SAXHAUG                                    ;NA;NA;NP;80;80;713;43.37;NA
MN;32;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;STEVEN M. HAAS                                 ;NA;NA;NP;30;30;23;7.32;NA
MN;32;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;CATHY HOHENSTEIN                               ;NA;NA;NP;30;30;150;47.77;NA
MN;32;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;BRUCE HOCHSTEIN                                ;NA;NA;NP;30;30;141;44.9;NA
MN;33;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;KATHI ELLIS                                    ;NA;NA;NP;21;21;194;29.66;NA
MN;33;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;MICHAEL A. FETZEK                              ;NA;NA;NP;21;21;81;12.39;NA
MN;33;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;WAYNE H. ANDERSON                              ;NA;NA;NP;21;21;116;17.74;NA
MN;33;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;TOM ROESCHLEIN                                 ;NA;NA;NP;21;21;263;40.21;NA
MN;37;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LEROY JANS                                     ;NA;NA;NP;33;33;175;44.08;NA
MN;37;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LIZ HAGEN                                      ;NA;NA;NP;33;33;30;7.56;NA
MN;37;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;HAROLD SOLEM                                   ;NA;NA;NP;33;33;192;48.36;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;LEE A RAMSDELL                                 ;NA;NA;NP;18;18;114;22.49;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;SERENE J DAHLE                                 ;NA;NA;NP;18;18;154;30.37;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;CLAIR A NELSON                                 ;NA;NA;NP;18;18;239;47.14;NA
